,Order,Family,Binomial,BrainMass,BodyMass,EQ,Defense_Type,Defense,Insectivory,Habitat_Openness
1,Afrosoricida,CHRYSOCHLORIDAE,Chrysochloris_asiatica,0.7,49,0.701817895,0,0,1,0.5
2,Afrosoricida,CHRYSOCHLORIDAE,Chrysochloris_stuhlmanni,1.06,50,1.046075652,0,0,1,0.55
3,Afrosoricida,TENRECIDAE,Echinops_telfairi,0.62,88,0.403335414,1,18,0,0.53
4,Afrosoricida,TENRECIDAE,Hemicentetes_semispinosus,0.83,110,0.45521003,1,21,1,0.55
5,Afrosoricida,TENRECIDAE,Limnogale_mergulus,1.15,92,0.72065067,0,0,0,0.2
6,Afrosoricida,TENRECIDAE,Microgale_cowani,0.42,15,1.008339192,0,0,1,0.45
7,Afrosoricida,TENRECIDAE,Microgale_dobsoni,0.56,33,0.760922403,0,0,1,0.45
8,Afrosoricida,TENRECIDAE,Microgale_talazaci,0.79,50,0.77557997,0,0,1,0.1
9,Afrosoricida,TENRECIDAE,Oryzorictes_hova,0.58,44,0.627994231,0,0,1,0.4
10,Afrosoricida,TENRECIDAE,Potamogale_velox,4.16,660,0.599413098,0,0,0,0.3
11,Afrosoricida,TENRECIDAE,Setifer_setosus,1.97,248,0.588660746,1,21,1,0.62
12,Afrosoricida,TENRECIDAE,Tenrec_ecaudatus,2.57,832,0.311554333,1,6,1,0.62
13,Carnivora,AILURIDAE,Ailurus_fulgens,46.8,5590,1.369901427,2,16,0,0.53
14,Carnivora,CANIDAE,Canis_mesomelas,54.8,8000,1.227688257,0,0,0,0.66
15,Carnivora,CANIDAE,Otocyon_megalotis,26.09,3335,1.122683287,0,0,0,0.67
16,Carnivora,CANIDAE,Urocyon_cinereoargenteus,37.28,3749,1.470102644,0,0,0,0.48
17,Carnivora,CANIDAE,Vulpes_vulpes,40,9000,0.820744069,0,0,0,0.67
18,Carnivora,EUPLERIDAE,Cryptoprocta_ferox,36.78,9500,0.724801315,2,16,0,0.1
19,Carnivora,FELIDAE,Leopardus_pardalis,63.1,9526,1.241057056,0,0,0,0.43
20,Carnivora,FELIDAE,Leptailurus_serval,54.1,11340,0.934261818,0,0,0,0.48
21,Carnivora,FELIDAE,Lynx_canadensis,69.5,14969,0.975671588,0,0,0,0.5
22,Carnivora,FELIDAE,Lynx_rufus,65,6350,1.730042736,0,0,0,0.58
23,Carnivora,FELIDAE,Panthera_leo,259.5,84000,1.006091983,0,0,0,0.61
24,Carnivora,FELIDAE,Panthera_onca,149,29000,1.277173902,0,0,0,0.46
25,Carnivora,FELIDAE,Panthera_pardus,135,48000,0.794585214,0,0,0,0.61
26,Carnivora,FELIDAE,Panthera_tigris,269.73,195000,0.55793226,0,0,0,0.4
27,Carnivora,FELIDAE,Puma_concolor,128,37000,0.914837919,0,0,0,0.58
28,Carnivora,HERPESTIDAE,Atilax_paludinosus,27.84,3300,1.207570353,2,32,0,0.63
29,Carnivora,HERPESTIDAE,Herpestes_urva,22.3,1863,1.481501244,2,32,0,0.5
30,Carnivora,HERPESTIDAE,Ichneumia_albicauda,28.3,4400,0.990337929,2,32,1,0.7
31,Carnivora,HERPESTIDAE,Paracynictis_selousi,16.73,1640,1.222571636,2,32,0,0.75
32,Carnivora,HYAENIDAE,Crocuta_crocuta,175,62370,0.847225107,0,0,0,0.53
