result_of_accident,restraint_status,frequency,severity
Fatal,Child seat,1241,Serious
Fatal,Lap and shoulder belt,978,Serious
Fatal,Lap belt only,772,Serious
Incapacitating,Child seat,1341,Serious
Incapacitating,Lap and shoulder belt,1088,Serious
Incapacitating,Lap belt only,1103,Serious
Non-Incapacitating,Child seat,1610,Not serious
Non-Incapacitating,Lap and shoulder belt,1233,Not serious
Non-Incapacitating,Lap belt only,1190,Not serious
PossibleInjury,Child seat,1111,Not serious
PossibleInjury,Lap and shoulder belt,772,Not serious
PossibleInjury,Lap belt only,683,Not serious
NoInjury,Child seat,1532,Not serious
NoInjury,Lap and shoulder belt,974,Not serious
NoInjury,Lap belt only,871,Not serious
