other_lobster_health,shelter_choice
healthy,other_lobster
healthy,other_lobster
healthy,other_lobster
healthy,other_lobster
healthy,other_lobster
healthy,other_lobster
healthy,other_lobster
healthy,other_lobster
healthy,other_lobster
healthy,empty
healthy,empty
healthy,empty
healthy,empty
healthy,empty
healthy,empty
healthy,empty
unhealthy,other_lobster
unhealthy,other_lobster
unhealthy,other_lobster
unhealthy,other_lobster
unhealthy,other_lobster
unhealthy,empty
unhealthy,empty
unhealthy,empty
unhealthy,empty
unhealthy,empty
unhealthy,empty
unhealthy,empty
unhealthy,empty
unhealthy,empty
unhealthy,empty
unhealthy,empty
