village,maize_yield,mean_elevation_m,person-years,number_malaria_cases,incidence_rate_per_ten_thousand
Gulim,High,2050,23458,683,291
Denbun,High,2050,20630,88,43
Wadra,High,2050,12805,170,133
Zalimashebekuma,High,2050,16857,370,219
Adel Agata,High,2050,12805,226,176
Fetamsantom,High,2050,18333,552,301
Ziyewshewun,High,2050,18384,857,466
Fzelsertekez,High,2050,16063,395,246
Woinmaambaye,Medium,2200,12079,71,59
Wangedam,Medium,2200,26223,218,83
Tiatia,Medium,2200,10960,180,164
Bagunakebesi,Medium,2200,17522,177,101
Alefabasi,Medium,2050,13344,94,70
Wehindurbete,Low,2200,13145,5,4
Arbisi,Low,2200,12639,8,6
Wendgi,Low,2200,19646,79,40
Shakawa,Low,2200,17441,66,38
Agnifereda,Low,2450,17309,5,3
Jibgedel,Low,2450,15570,23,15
