Height,HeadCircumference,Sex,SiblingNumber,Hand,Foot
168,57,Male,3,Right,Right
177,59,Female,5,Right,Right
,,Female,1,Right,Right
180,57,Male,2,Right,Right
163,,Female,4,Right,Right
158,54,Female,1,Right,Right
163.83,48,Female,1,Right,Ambipedal
164,54,Female,1,Right,Right
175,,Female,0,Right,Right
166,,Female,2,Right,Right
178,58,Male,3,Right,Right
,,Female,0,Right,Right
,,,2,Right,Right
165,,Female,2,Right,Right
168,53,Female,1,Right,Right
155,,Female,1,Right,Right
167.64,,Male,3,Right,Right
159,55,Female,1,Right,Right
152,52,Female,1,Right,Right
180,,Male,2,Right,Right
178,,Female,1,Right,Right
163,56,Female,1,Right,Right
188,57,Male,2,Right,Right
167,56,Female,2,Right,Right
178,57.5,Male,1,Right,Right
163,55,Female,2,Right,Right
167,55,Male,1,Right,Right
173,56,Male,1,Right,Right
166,24,Female,2,Right,Right
183,58,Male,1,Right,Right
160.02,55.88,Female,1,Right,Right
177.8,,Female,1,Right,Right
180,56,Male,2,Right,Right
,,Female,1,Right,Right
165,,Female,3,Right,Right
183,58,Male,1,Right,Right
180,55.88,Male,2,Right,Right
175.26,60.5,Male,1,Right,Right
167.6,56,Female,0,Right,Right
,,Female,1,Right,Right
170,54.75,Male,3,Right,Right
173,58.5,Male,2,Right,Right
,,Female,2,Right,Right
167.64,57.5,Male,2,Right,Right
175,59,Male,2,Right,Ambipedal
170,57.5,Female,1,Right,Right
157.48,58,Female,2,Right,Ambipedal
168,58.5,Female,1,Right,Right
158,55,Female,0,Right,Right
175,57,Female,2,Right,Right
170.18,59,Female,1,Right,Right
162.6,56,Female,2,Right,Right
163,58,Female,1,Left,Right
179,60,Male,4,Right,Right
169,61,Female,1,Right,Ambipedal
173,57,Female,1,Left,Left
1.73,57,Female,0,Right,Right
173,56,Male,1,Left,Right
191,58.5,Male,1,Right,Right
157,,Female,2,Right,Right
167,56,Female,0,Right,Right
168,53,Female,1,Left,Right
158,,Female,1,Right,Right
172,59,Male,2,Right,Ambipedal
169,59,Male,2,Right,Right
,,Female,3,Right,
166,,Female,0,Right,Ambipedal
176,,Female,0,Right,Right
160,56,Female,3,Right,Right
170,56.7,Male,4,Right,Right
