genotype,days_to_death
tim01,1
tim01,1
tim01,1
tim01,1
tim01,1
tim01,1
tim01,1
tim01,1
tim01,1
tim01,1
tim01,1
tim01,1
tim01,1
tim01,1
tim01,2
tim01,2
tim01,2
tim01,2
tim01,2
tim01,2
tim01,2
tim01,2
tim01,2
tim01,2
tim01,2
tim01,2
tim01,3
tim01,3
tim01,3
tim01,4
tim01,5
tim01,6
tim01,6
tim01,9
tim01,10
tim01,12
tim01,15
tim01,18
tim01 (rescued),2
tim01 (rescued),2
tim01 (rescued),2
tim01 (rescued),3
tim01 (rescued),3
tim01 (rescued),3
tim01 (rescued),3
tim01 (rescued),4
tim01 (rescued),4
tim01 (rescued),4
tim01 (rescued),6
tim01 (rescued),6
tim01 (rescued),6
tim01 (rescued),6
tim01 (rescued),7
tim01 (rescued),7
tim01 (rescued),7
tim01 (rescued),8
tim01 (rescued),8
tim01 (rescued),9
tim01 (rescued),9
tim01 (rescued),10
tim01 (rescued),10
tim01 (rescued),10
tim01 (rescued),10
tim01 (rescued),11
tim01 (rescued),13
tim01 (rescued),13
tim01 (rescued),15
tim01 (rescued),16
tim01 (rescued),18
tim01 (rescued),18
tim01 (rescued),18
tim01 (rescued),18
tim01 (rescued),18
tim01 (rescued),18
tim01 (rescued),18
tim01 (rescued),18
tim01 (rescued),18
wild type,1
wild type,1
wild type,1
wild type,2
wild type,2
wild type,2
wild type,3
wild type,4
wild type,5
wild type,5
wild type,5
wild type,6
wild type,7
wild type,8
wild type,10
wild type,10
wild type,14
wild type,15
wild type,16
wild type,17
wild type,17
wild type,17
wild type,18
wild type,18
wild type,20
wild type,20
wild type,20
wild type,20
wild type,20
wild type,20
wild type,20
wild type,20
wild type,20
wild type,20
wild type,20
wild type,20
wild type,20
wild type,20
wild type,20
wild type,20
