"","Sex","Handedness","RightIndexcm","RightRingcm"
"1","Female","Right",7.42872964548846,7.8982754608843
"2","Female","Right",7.12872964548846,7.49827546088429
"3","Female","Left",7.22872964548846,7.09827546088429
"4","Female","Right",7.42872964548846,7.19827546088429
"5","Female","Right",7.22872964548846,7.69827546088429
"6","Male","Right",8.82872964548847,8.59827546088429
"7","Female","Right",7.22872964548846,7.49827546088429
"8","Male","Right",10.1287296454885,10.7982754608843
"9","Female","Right",6.22872964548846,6.3982754608843
"10","Male","Right",8.92872964548847,8.49827546088429
"11","Female","Right",5.92872964548846,6.99827546088429
"12","Female","Right",6.52872964548846,6.49827546088429
"13","Male","Right",9.12872964548846,8.49827546088429
"14","Male","Right",8.22872964548847,8.39827546088429
"15","Female","Right",7.32872964548846,6.8982754608843
"16","Female","Right",7.92872964548846,6.99827546088429
"17","Female","Left",7.92872964548846,6.99827546088429
"18","Female","Right",6.92872964548846,7.99827546088429
"19","Female","Right",6.92872964548846,7.29827546088429
"20","Female","Right",6.92872964548846,7.19827546088429
"21","Male","Right",7.12872964548846,7.3982754608843
"22","Female","Right",7.32872964548846,7.59827546088429
"23","Female","Right",7.32872964548846,7.69827546088429
"24","Female","Right",6.52872964548846,6.69827546088429
"25","Female","Right",6.62872964548846,6.8982754608843
"26","Female","Right",8.12872964548846,7.79827546088429
"27","Female","Right",6.72872964548846,6.3982754608843
"28","Female","Right",6.92872964548846,6.79827546088429
"29","Female","Right",7.02872964548846,6.8982754608843
"30","Male","Right",7.82872964548846,7.59827546088429
"31","Female","Right",7.42872964548846,7.99827546088429
"32","Female","Right",7.92872964548846,8.49827546088429
"33","Female","Right",6.82872964548846,7.09827546088429
"34","Female","Right",6.42872964548846,6.79827546088429
"35","Female","Right",6.12872964548846,6.3982754608843
"36","Female","Right",6.42872964548846,6.19827546088429
"37","Female","Left",7.32872964548846,7.29827546088429
"38","Female","Right",6.82872964548846,6.69827546088429
"39","Female","Right",6.72872964548846,7.19827546088429
"40","Female","Right",6.92872964548846,6.79827546088429
"41","Female","Right",7.42872964548846,6.99827546088429
"42","Female","Right",7.02872964548846,6.49827546088429
"43","Male","Right",6.52872964548846,7.19827546088429
"44","Female","Right",7.32872964548846,7.19827546088429
"45","Female","Right",6.42872964548846,6.99827546088429
"46","Female","Right",6.42872964548846,6.49827546088429
"47","Female","Right",7.72872964548846,7.49827546088429
"48","Female","Right",7.42872964548846,8.49827546088429
"49","Female","Right",6.42872964548846,6.3982754608843
"50","Female","Right",6.42872964548846,6.3982754608843
"51","Male","Right",7.82872964548846,7.19827546088429
"52","Female","Right",7.32872964548846,7.59827546088429
"53","Male","Right",7.92872964548846,7.69827546088429
"54","Female","Right",6.42872964548846,6.69827546088429
"55","Female","Right",7.42872964548846,7.79827546088429
"56","Female","Right",6.72872964548846,6.49827546088429
"57","Female","Left",6.72872964548846,7.19827546088429
"58","Female","Right",6.52872964548846,6.49827546088429
"59","Female","Right",7.12872964548846,7.69827546088429
"60","Male","Right",7.82872964548846,8.09827546088429
"61","Male","Left",7.42872964548846,7.49827546088429
"62","Female","Right",7.72872964548846,7.49827546088429
"63","Female","Right",7.42872964548846,7.99827546088429
"64","Female","Right",7.32872964548846,7.59827546088429
"65","Male","Right",7.42872964548846,8.19827546088429
"66","Female","Right",7.22872964548846,7.3982754608843
"67","Female","Right",6.82872964548846,6.69827546088429
"68","Female","Right",7.52872964548846,7.29827546088429
"69","Female","Right",6.92872964548846,6.49827546088429
"70","Female","Right",7.52872964548846,7.49827546088429
"71","Female","Right",6.32872964548846,5.99827546088429
"72","Female","Right",7.12872964548846,7.29827546088429
"73","Female","Left",7.92872964548846,7.49827546088429
"74","Female","Right",6.92872964548846,7.49827546088429
"75","Male","Right",7.32872964548846,7.09827546088429
"76","Female","Right",7.92872964548846,7.74827546088429
"77","Female","Right",7.12872964548846,8.09827546088429
"78","Female","Right",6.92872964548846,6.49827546088429
"79","Female","Right",7.12872964548846,7.79827546088429
"80","Female","Right",8.12872964548846,7.99827546088429
"81","Male","Right",3.52872964548846,4.19827546088429
"82","Female","Right",10.0287296454885,5.29827546088429
"83","Female","Left",6.82872964548846,6.69827546088429
