"","Height_cm","Head_circumference_cm","Sex","Siblings","Handedness","Footedness"
"1",169.9,58.1,"Female",2,"Right","Right"
"2",163.7,56.1,"Female",1,"Right","Right"
"3",159.7,NA,"Female",3,"Right","Right"
"4",179.7,56.1,"Female",2,"Right","Right"
"5",155.7,55.1,"Female",3,"Right","Left"
"6",164.7,55.1,"Female",1,"Right","Right"
"7",186.4,63.6,"Male",2,"Left","Left"
"8",163.5,58.1,"Female",0,"Right","Left"
"9",164.7,56.6,"Female",1,"Right","Left"
"10",161.7,57.9,"Female",1,"Right","Right"
"11",162.7,57.1,"Female",1,"Right","Right"
"12",164.7,24.1,"Female",1,"Right","Right"
"13",159.7,57.1,"Female",0,"Left","Left"
"14",171.7,58.1,"Male",1,"Left","Left"
"15",189.7,60.1,"Male",0,"Right","Right"
"16",172.7,63.1,"Female",0,"Right","Right"
"17",155.7,63.1,"Female",1,"Right","Right"
"18",156.7,NA,"Female",2,"Left","Right"
"19",162.3,59.1,"Female",3,"Right","Right"
"20",162.8,58,"Female",0,"Right","Right"
"21",158.4,57.1,"Female",2,"Right","Right"
"22",169.7,NA,"Female",1,"Right","Right"
"23",176.7,NA,"Male",3,"Right","Right"
"24",169.7,56.1,"Female",1,"Right","Right"
"25",163,56.4,"Female",1,"Right","Right"
"26",164.2,NA,"Female",1,"Right","Right"
"27",167.7,56.1,"Female",1,"Right","Right"
"28",164.7,NA,"Female",1,"Right","Left"
"29",179.7,61.1,"Male",1,"Right","Right"
"30",157.7,58.1,"Female",2,"Right","Right"
"31",170.4,58.6,"Female",1,"Right","Right"
"32",176.5,59.1,"Female",1,"Left","Left"
"33",169.7,NA,"Female",1,"Right","Right"
"34",183.7,23.1,"Male",1,"Right","Right"
"35",NA,NA,"Male",1,"Right","Right"
"36",149.7,NA,"Female",1,"Right","Right"
"37",157.7,NA,"Female",1,"Right","Ambipedal"
"38",172.7,56.1,"Female",2,"Right","Right"
"39",157.7,55.1,"Female",2,"Right","Right"
"40",175.7,58.1,"Female",0,"Right","Right"
"41",161.7,56.1,"Female",3,"Right","Right"
"42",172.7,56.1,"Male",1,"Right","Right"
"43",167.7,51.1,"Male",0,"Right","Right"
"44",167.7,59.1,"Female",1,"Right","Right"
"45",164.7,57.1,"Female",1,"Right","Right"
"46",164.8,57.1,"Female",1,"Right","Right"
"47",181.7,56.1,"Male",1,"Right","Right"
"48",176.7,59.1,"Male",0,"Right","Right"
"49",165.7,57.1,"Male",2,"Ambidextrous","Ambipedal"
"50",167.7,58.1,"Male",1,"Right","Right"
